"lesson_id","lesson_title","disciplina"
"5L2JuyfuQpIGAnLDOe7AvJ","Matas ciliares","Geografia"
"45tPbp1sUbIiD2GFSjFbnu","As cidades medievais","História"
"4jTnVIOR4uoCGtz9F48VLE","Quarantine and Vacation 
(Quarentena e Férias)","Inglês"
"50WY92I1FgSEgleHAMFqlY","Paisagens do campo e da cidade","Geografia"
"5zLRmWjzALS1WoPHmhWsm3","Misturas","Ciências"
"V11Tbb6GWNq2b7X0gYIh8","Crescimento e expansão das cidades","Geografia"
"1yjozISWKwHIKyZzDVai2S","Operações com números naturais","Matemática"
"gIPvHNXNypEdGmcAsG9N8","Periodização histórica","História"
"2uBVjJmzavMhFTrzXyfPtg","Introdução à frações","Matemática"
"wTxEdWpDvoIRoNoVEGVpI","Transformações químicas da matéria","Ciências"
"5L6Dtl1KWtyyIhSI6WDhtE","Dança Clássica","Arte"
"2tuYd1Bdb8xEVdjIalcq2b","Oração","Português"
"3FvPTGu5MLxJhvpIGPxLGj","Problemas envolvendo grandezas inversamente proporcionais","Matemática"
"3HcBEJo6BAzZRr8QNz3lxO","Antônimos","Português"
"0didq8ASne9aEN42lRBwr","Soma e subtração de frações","Matemática"
"22yqmMpLtvELOtebCA6DfB","Multiplicação e divisão de frações","Matemática"
"43CrcR4byI2Sk9cCH48GUN","Uso de drogas","Ciências"
"3gwko1K3gs56WB47y5knFM","O que é fact checking?","Inglês"
"58ZMrNallrtZQt3iEBYkF5","Criacionismo e o Evolucionismo","História"
"7aStZZeimeCmYIIHxgbck5","Months of the year 
(Meses do ano)","Inglês"
"4I7aqFFoxUTpSi62zaPx59","Experiment: Sink or Float? 
(Experimento: Afunda ou Boia?)","Inglês"
"4nDK7NUyZ1HUXDNHuoLOdj","Dramaturgia Circense","Arte"
"65E4vE5A5JwMiNvcD5cC7i","Queimadas no Pantanal","Geografia"
"4ccuOAbYCjpdvjUhb8k8yL","Fração de um número","Matemática"
"6mywfmfVH58LECzewAvHO7","A arqueologia","História"
"7AuLXpGvBka7oVJy5B3R8p","How to spell in English
(Como soletrar em inglês)","Inglês"
"78gD8gkJ8FgZ7rKyDAPMpr","Figurino – a roupa que encena","Arte"
"6rkgXNHonoV5s2VcPwzZdY","Separação de misturas","Ciências"
"59hMqtxnV1dLMyAMltyo9Z","Surgimento das primeiras cidades e suas características","Geografia"
"4k6VAIZPLSluPOuI5XEpjR","Tipos de paisagens","Geografia"
"12QqzbNzlHCYrsrzwENXq7","Grupos e Artistas: MPB","Arte"
"1bnjkylX8PiIt82LiEoSMG","O caminho da água até nossas casas","Geografia"
"3g8KsIFZm8nWEWvCJ2iAg4","Produção de vacinas","Ciências"
"21mRh3tDNkCnWeYueLRYQB","English alphabet: how to pronounce letters (Alfabeto em inglês)","Inglês"
"1B4jWOlYGXuqwlGx6zze04","Clown & Palhaço","Arte"
"5Yuk47sa4fPsA0A3ysCDk3","Construção de quadriláteros","Matemática"
"3jgm4XmPad5eraA1hfR9PW","Caminhos para combater a fome no Brasil","Enem"
"6sVOEcuBgIg45qZr4SxUPI","Pinturas e fundamentos da cor","Arte"
"1xSvTmqhCZfUyBAgFkHnQa","Desenho de observação","Arte"
"76nPbLlP7n9aHV11N3LD6f","Teatro Gestual: Pantomima","Arte"
"52GbZDrE7ND6kResKgISoH","As feiras medievais","História"
"1DuniQfYMkZfQmMKcmk0oE","A importância do saneamento básico","Geografia"
"1XNDQSY9PObFFdcmA0rDDx","Transformações nas paisagens naturais e suas consequências","Geografia"
"LJHuquRB0jzKBHuwk1iSf","Soma e subtração de números decimais","Matemática"
"3UJW0tZVHLmZntdNPRpMzr","Tipos e ciclo das rochas","Ciências"
"3EuyUOVthcOw0U3EITRvGx","Fração na reta numérica","Matemática"
"3sQJFqyAm4TrF6qFIMwlbL","Desenhando árvores","Arte"
"7A67UG3JHxBsdGcE9nOVJq","Os mitos da criação do homem segundo alguns povos indígenas","História"
"7Lbvdq9YzJcvwNqMkiPXsp","“Teoria” e “Hipótese” na chegada do homem à América","História"
