i_idx,itemId
0,01A4hAoh6oXFlx6sHk68DG
1,01BVGnB5VnzCBTrmbh3rFr
2,01d9jypMvBfbl8fIsqvBAu
3,0Fip7gFprYkSp7Ogs8wXY
4,0TbfQCygczS8TLS1euZyK
5,0didq8ASne9aEN42lRBwr
6,0rMmV5zn8v4uvMynWSZ6H
7,0sGj33zfouebPV9na8we2
8,109Gz9gJlRxDbaSFvlOqeI
9,111uO6mEMyQfJFqPaVNHU1
10,11A1mhGxkkNp8lxHJN0tJs
11,11JUr12FAtDLJbXGeHus8Z
12,11v8UOSvp3smkbRb0xP7oC
13,11yplb4AomZCzVfxyzMUYR
14,121aygkAPdk7F1Q9Vvt8L2
15,12GXSE2KaY9D9ccZrGFjr4
16,12QqzbNzlHCYrsrzwENXq7
17,12fXetn5BqGLnf1aZys4nL
18,1319V3DNErnFLcRlAi7QnI
19,13qXMdClOpbEy8psPyvCHs
20,13wzTQ8k00rFRZrKRxtt8x
21,1425bEy1x0kphonJbiicAk
22,14KZQzKQ5GxZBoffGtngIB
23,14LUt5t8DgqaYC14IpnygS
24,14ZuCfFykydEQNY04z2TKT
25,14mannFyV8Lr98eQOnA4uX
26,14zis3OCkIXhaC13NHpg3e
27,15HQ7Ck0384g0otDD1Aapw
28,15HsRhfwmYG2jsjiV4Oa6b
29,15I8fwmxoynNIBYEltXloZ
30,15i0OXp868EP7uCjWby8V2
31,15jWTPGqzS0jE9iNpSJR4c
32,167x0VfJurULfyAz39aqB7
33,16PjMHLksw2E1vlAmST7RL
34,16mho5SBzMRgyoyhfbL2lS
35,16smjc1RI9tH6Hcw8MbxLK
36,17WseuF56C84J2AU20EJxx
37,17dNC9CEH2x8N4lROS3m7Q
38,17hapjnnK3F6uNHjKDuume
39,18MLtDQiq1bmU5MKZ0QoOL
40,18TEqVraE1OTvxDN8w2l0b
41,18j51kXtN7DxWnbcKKSwzs
42,18ugXUAErgE6WKOO7r79v3
43,190IJPlBFrivqC4HoQUEqc
44,19QvOqbvX3BZilWawBGq8f
45,19U02pNBwOl48QVru1SiI0
46,19fBggPi3gVGsDznSZpM6X
47,19jK0txfDZGdqEezBwV6Nu
48,19sOrwupicGYvCR8y9Ij4d
49,1AN0ZNJFKjvbB7wFeaIK9N
50,1AiRWArDlN1TiBu8gqjA0T
51,1AofLvjowDkTxUNVKtG9u5
52,1AzJHIfjJXWOLFQMrHIwqV
53,1B4jWOlYGXuqwlGx6zze04
54,1B9B0gHyjKk21R78B1gynt
55,1BEorsD437dN4ZjEHybcGm
56,1BKJRrhBEvtjiZXS9PcU4Q
57,1BgrmeF65OaQqOv0Cbl01f
58,1CNqFoGjNXbQ6fWp3OeGES
