mes,ativos,novos,churn,saldo_liquido,taxa_churn_%
2022-01,196,96,0,96,
2022-02,3459,3001,0,3001,0.0
2022-03,9310,7778,2199,5579,63.57
2022-04,13621,12343,8167,4176,87.72
2022-05,18648,16877,12425,4452,91.22
2022-06,24711,22358,17026,5332,91.3
2022-07,21064,18752,23282,-4530,94.22
2022-08,29752,26471,19432,7039,92.25
2022-09,33233,29084,27140,1944,91.22
2022-10,34772,30104,30525,-421,91.85
2022-11,35627,30573,31941,-1368,91.86
2022-12,21974,18859,33948,-15089,95.29
2023-01,23893,21415,21101,314,96.03
2023-02,39817,34202,22057,12145,92.32
2023-03,57664,48855,35133,13722,88.24
2023-04,47063,38330,52261,-13931,90.63
2023-05,54268,44842,42339,2503,89.96
2023-06,45157,36813,49839,-13026,91.84
2023-07,34752,28320,42267,-13947,93.6
2023-08,49586,41132,31666,9466,91.12
2023-09,42735,34979,45670,-10691,92.1
2023-10,42824,35311,39412,-4101,92.22
2023-11,48315,40649,39532,1117,92.31
2023-12,21547,17626,46383,-28757,96.0
2024-01,17114,14669,20729,-6060,96.2
2024-02,42500,36053,15603,20450,91.17
2024-03,71167,61295,38614,22681,90.86
2024-04,66689,55591,65675,-10084,92.28
2024-05,53707,43539,61960,-18421,92.91
2024-06,61433,52195,49704,2491,92.55
2024-07,47380,40055,58265,-18210,94.84
2024-08,66490,56163,43928,12235,92.71
2024-09,64874,54201,61846,-7645,93.02
2024-10,50010,41491,61484,-19993,94.77
2024-11,44865,37230,47252,-10022,94.49
2024-12,20325,17066,43569,-26503,97.11
2025-01,14815,13032,19877,-6845,97.8
2025-02,27749,23601,14039,9562,94.76
2025-03,31612,27312,26294,1018,94.76
2025-04,39871,36247,30195,6052,95.52
2025-05,25055,20829,38417,-17588,96.35
2025-06,24015,20585,23677,-3092,94.5
2025-07,23445,20355,22967,-2612,95.64
2025-08,7562,5816,22861,-17045,97.51
2025-09,0,0,0,0,0.0
